,job,marital,education,default,housing,loan,contact,poutcome,age_bin,result_from_ward
1177,admin.,single,high.school,no,no,no,telephone,nonexistent,30-40,1
1178,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,50-60,1
1179,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
1180,technician,married,professional.course,no,no,no,cellular,failure,30-40,0
1181,admin.,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
1182,blue-collar,married,basic.9y,no,yes,no,cellular,success,40-50,1
1183,blue-collar,married,basic.6y,no,no,no,cellular,failure,30-40,1
1184,technician,married,professional.course,no,yes,no,telephone,nonexistent,40-50,0
1185,services,single,high.school,no,yes,no,cellular,nonexistent,40-50,1
1186,admin.,divorced,university.degree,no,no,no,telephone,nonexistent,30-40,2
1187,technician,married,professional.course,no,no,yes,telephone,nonexistent,50-60,0
1188,management,single,university.degree,no,no,no,telephone,nonexistent,30-40,2
1189,unemployed,married,professional.course,no,no,no,telephone,nonexistent,40-50,0
1190,management,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
1191,technician,single,basic.6y,no,yes,no,telephone,nonexistent,20-30,0
1192,technician,married,professional.course,unknown,yes,yes,telephone,nonexistent,50-60,0
1193,unemployed,married,high.school,no,no,no,cellular,success,40-50,0
1194,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
1195,admin.,married,high.school,no,yes,no,telephone,nonexistent,40-50,1
1196,blue-collar,married,basic.6y,no,yes,no,telephone,nonexistent,50-60,1
1197,admin.,single,high.school,no,yes,no,telephone,nonexistent,30-40,1
1198,retired,divorced,basic.4y,no,no,no,cellular,nonexistent,50-60,1
1199,blue-collar,divorced,high.school,no,no,yes,telephone,nonexistent,40-50,1
1200,blue-collar,single,high.school,no,yes,no,cellular,nonexistent,20-30,1
1201,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,50-60,1
1202,admin.,divorced,basic.9y,no,no,yes,cellular,nonexistent,50-60,1
1203,blue-collar,married,professional.course,unknown,yes,no,cellular,failure,40-50,2
1204,housemaid,married,basic.4y,unknown,no,yes,cellular,nonexistent,50-60,1
1205,admin.,married,high.school,no,no,no,cellular,failure,20-30,1
1206,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,30-40,1
1207,blue-collar,single,basic.9y,unknown,no,no,cellular,nonexistent,30-40,1
1208,blue-collar,married,high.school,unknown,no,no,telephone,nonexistent,40-50,1
1209,technician,single,university.degree,no,yes,no,telephone,nonexistent,30-40,0
1210,management,single,university.degree,no,yes,no,cellular,success,30-40,2
1211,management,divorced,university.degree,no,unknown,unknown,cellular,nonexistent,30-40,2
1212,blue-collar,married,basic.9y,unknown,no,yes,telephone,nonexistent,30-40,1
1213,services,married,high.school,no,no,no,cellular,nonexistent,30-40,0
1214,blue-collar,married,basic.6y,unknown,yes,no,cellular,nonexistent,30-40,1
1215,blue-collar,married,basic.4y,no,no,no,cellular,failure,20-30,1
1216,services,married,high.school,no,yes,no,cellular,nonexistent,50-60,1
1217,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,30-40,1
1218,self-employed,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
1219,admin.,married,high.school,no,yes,no,cellular,nonexistent,30-40,1
1220,retired,married,basic.9y,no,yes,no,cellular,nonexistent,50-60,1
1221,services,single,high.school,no,no,no,cellular,nonexistent,20-30,0
1222,management,single,unknown,no,yes,no,telephone,nonexistent,20-30,2
1223,technician,single,university.degree,no,yes,no,telephone,nonexistent,30-40,0
1224,retired,married,basic.4y,unknown,no,no,cellular,nonexistent,40-50,1
1225,blue-collar,single,high.school,no,no,yes,cellular,failure,20-30,1
1226,management,married,university.degree,no,no,no,cellular,success,30-40,2
1227,admin.,married,high.school,no,yes,yes,cellular,nonexistent,50-60,1
1228,technician,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
1229,blue-collar,married,basic.6y,no,yes,no,telephone,nonexistent,30-40,1
1230,admin.,single,basic.4y,unknown,yes,no,telephone,nonexistent,30-40,1
1231,technician,married,professional.course,unknown,no,no,telephone,nonexistent,30-40,0
1232,self-employed,married,professional.course,no,no,no,telephone,nonexistent,50-60,2
1233,technician,single,high.school,no,no,no,cellular,nonexistent,20-30,0
1234,blue-collar,married,basic.6y,no,yes,no,telephone,nonexistent,30-40,1
1235,management,married,university.degree,unknown,no,no,telephone,nonexistent,50-60,2
1236,admin.,single,university.degree,no,no,no,cellular,failure,40-50,2
1237,technician,married,university.degree,no,no,no,cellular,nonexistent,40-50,0
1238,housemaid,married,university.degree,no,yes,no,telephone,nonexistent,50-60,2
1239,self-employed,married,basic.4y,unknown,no,no,telephone,nonexistent,30-40,1
1240,technician,divorced,professional.course,no,yes,yes,cellular,nonexistent,40-50,0
1241,services,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
1242,entrepreneur,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
1243,admin.,married,high.school,no,yes,no,telephone,nonexistent,30-40,1
1244,technician,married,university.degree,unknown,no,no,telephone,nonexistent,50-60,0
1245,admin.,single,high.school,no,unknown,unknown,cellular,success,30-40,1
1246,technician,divorced,professional.course,no,no,no,cellular,nonexistent,50-60,0
1247,technician,married,university.degree,no,no,no,telephone,nonexistent,30-40,0
1248,technician,married,university.degree,no,no,no,telephone,nonexistent,40-50,0
1249,technician,married,basic.9y,unknown,yes,no,telephone,nonexistent,30-40,0
1250,technician,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1251,admin.,married,high.school,no,yes,yes,cellular,nonexistent,20-30,1
1252,management,married,university.degree,no,no,no,cellular,nonexistent,60-70,2
1253,admin.,married,high.school,no,no,no,telephone,nonexistent,30-40,1
1254,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,40-50,1
1255,admin.,married,high.school,no,no,no,cellular,nonexistent,30-40,1
1256,entrepreneur,married,high.school,no,no,no,telephone,nonexistent,30-40,1
1257,management,married,basic.4y,no,yes,yes,cellular,failure,50-60,1
1258,management,married,university.degree,no,no,no,telephone,nonexistent,20-30,2
1259,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,50-60,1
1260,retired,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
1261,unemployed,divorced,high.school,no,no,no,cellular,nonexistent,20-30,0
1262,technician,single,professional.course,no,no,no,cellular,failure,20-30,0
1263,admin.,married,university.degree,no,no,no,cellular,success,20-30,2
1264,admin.,married,high.school,no,no,no,cellular,nonexistent,40-50,1
1265,services,married,high.school,no,yes,no,cellular,nonexistent,40-50,1
1266,blue-collar,married,unknown,no,no,no,cellular,nonexistent,30-40,2
1267,unemployed,divorced,basic.4y,no,yes,yes,telephone,nonexistent,30-40,0
1268,blue-collar,married,professional.course,no,yes,no,cellular,failure,30-40,2
1269,student,single,basic.9y,unknown,yes,no,cellular,success,20-30,0
1270,admin.,single,high.school,no,yes,yes,cellular,failure,40-50,1
1271,technician,single,professional.course,no,no,no,cellular,nonexistent,30-40,0
1272,self-employed,married,university.degree,no,no,no,telephone,nonexistent,50-60,0
1273,admin.,married,high.school,unknown,no,no,cellular,nonexistent,40-50,1
1274,admin.,single,university.degree,no,no,no,cellular,nonexistent,40-50,2
1275,blue-collar,married,basic.9y,no,yes,yes,cellular,nonexistent,30-40,1
1276,blue-collar,single,basic.9y,no,no,no,cellular,success,20-30,1
1277,blue-collar,married,basic.9y,no,no,no,telephone,nonexistent,30-40,1
1278,technician,married,university.degree,no,no,yes,cellular,nonexistent,30-40,0
1279,retired,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
1280,admin.,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
1281,retired,married,basic.4y,no,unknown,unknown,cellular,nonexistent,70-80,1
1282,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1283,technician,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
1284,services,single,high.school,no,yes,no,cellular,nonexistent,50-60,1
1285,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,20-30,1
1286,services,divorced,high.school,no,no,no,cellular,failure,50-60,1
1287,admin.,married,university.degree,no,yes,no,cellular,failure,40-50,2
1288,technician,married,university.degree,no,yes,no,cellular,failure,30-40,0
1289,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,30-40,1
1290,blue-collar,married,basic.4y,unknown,yes,no,cellular,nonexistent,40-50,1
1291,blue-collar,married,unknown,no,yes,yes,cellular,nonexistent,30-40,2
1292,blue-collar,single,basic.4y,no,no,no,cellular,failure,30-40,1
1293,entrepreneur,married,unknown,no,yes,no,telephone,nonexistent,50-60,2
1294,technician,married,university.degree,no,yes,no,telephone,nonexistent,30-40,0
1295,admin.,married,university.degree,no,yes,no,cellular,success,60-70,2
1296,services,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
1297,self-employed,single,professional.course,no,yes,no,cellular,failure,30-40,0
1298,self-employed,married,basic.9y,unknown,no,no,cellular,nonexistent,40-50,0
1299,admin.,married,university.degree,unknown,yes,no,telephone,nonexistent,30-40,2
1300,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1301,admin.,married,university.degree,no,no,yes,telephone,nonexistent,50-60,2
1302,admin.,married,high.school,unknown,yes,yes,cellular,nonexistent,30-40,1
1303,admin.,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
1304,retired,married,basic.4y,no,no,no,cellular,nonexistent,80-90,1
1305,entrepreneur,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
1306,blue-collar,married,basic.9y,no,no,no,cellular,failure,30-40,1
1307,technician,married,high.school,no,yes,no,telephone,nonexistent,30-40,0
1308,unemployed,single,basic.9y,unknown,yes,no,telephone,nonexistent,30-40,0
1309,admin.,married,basic.6y,no,yes,no,cellular,nonexistent,50-60,1
1310,technician,married,professional.course,no,no,no,cellular,nonexistent,30-40,0
1311,admin.,single,high.school,unknown,no,no,cellular,nonexistent,30-40,1
1312,retired,single,university.degree,no,yes,yes,cellular,nonexistent,70-80,2
1313,blue-collar,married,basic.9y,unknown,no,no,cellular,failure,40-50,1
1314,admin.,single,high.school,no,no,no,cellular,nonexistent,20-30,1
1315,management,married,university.degree,unknown,yes,no,telephone,nonexistent,30-40,2
1316,blue-collar,single,basic.9y,no,no,no,telephone,nonexistent,40-50,1
1317,blue-collar,married,basic.9y,unknown,yes,yes,telephone,nonexistent,50-60,1
1318,services,divorced,high.school,no,no,no,cellular,nonexistent,30-40,0
1319,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,20-30,1
1320,blue-collar,unknown,basic.6y,unknown,no,no,telephone,nonexistent,50-60,1
1321,blue-collar,married,basic.6y,no,yes,yes,cellular,failure,30-40,1
1322,student,single,unknown,no,no,no,telephone,nonexistent,20-30,0
1323,technician,single,professional.course,unknown,yes,no,cellular,nonexistent,30-40,0
1324,services,married,basic.9y,unknown,no,no,telephone,nonexistent,30-40,0
1325,technician,single,basic.9y,no,no,no,telephone,failure,30-40,0
1326,blue-collar,married,professional.course,unknown,yes,yes,telephone,nonexistent,30-40,2
1327,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
1328,technician,married,university.degree,no,no,no,cellular,nonexistent,30-40,0
1329,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,30-40,1
1330,technician,married,professional.course,no,yes,no,telephone,nonexistent,30-40,0
1331,management,divorced,university.degree,unknown,yes,no,telephone,nonexistent,30-40,2
1332,technician,married,professional.course,no,yes,yes,cellular,failure,30-40,0
1333,unemployed,married,basic.4y,unknown,no,no,telephone,nonexistent,40-50,0
1334,services,married,university.degree,no,yes,no,telephone,nonexistent,20-30,0
1335,services,married,university.degree,no,no,no,telephone,nonexistent,30-40,0
1336,student,married,university.degree,no,no,no,cellular,failure,20-30,0
1337,admin.,divorced,university.degree,no,no,no,telephone,nonexistent,40-50,2
1338,admin.,single,high.school,no,yes,no,cellular,nonexistent,30-40,1
1339,technician,divorced,professional.course,no,no,yes,cellular,nonexistent,20-30,0
1340,admin.,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
1341,admin.,single,university.degree,unknown,no,no,telephone,nonexistent,30-40,2
1342,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1343,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,50-60,1
1344,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
1345,technician,married,professional.course,no,no,no,cellular,failure,50-60,0
1346,technician,single,basic.9y,no,yes,no,cellular,nonexistent,40-50,0
1347,admin.,married,high.school,no,yes,no,cellular,nonexistent,40-50,1
1348,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
1349,services,married,high.school,no,unknown,unknown,cellular,nonexistent,40-50,0
1350,technician,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
1351,technician,married,professional.course,no,yes,no,telephone,nonexistent,40-50,0
1352,retired,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
1353,technician,married,basic.4y,no,yes,no,telephone,nonexistent,50-60,0
1354,management,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
1355,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,nonexistent,40-50,1
1356,services,married,high.school,no,no,no,telephone,nonexistent,30-40,0
1357,blue-collar,single,basic.4y,no,yes,yes,cellular,nonexistent,30-40,1
1358,admin.,single,university.degree,no,yes,no,cellular,failure,20-30,2
1359,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
1360,management,married,basic.9y,unknown,no,no,telephone,nonexistent,30-40,1
1361,technician,single,professional.course,no,yes,no,cellular,nonexistent,20-30,0
1362,admin.,married,high.school,no,yes,yes,cellular,nonexistent,30-40,1
1363,admin.,married,unknown,no,yes,no,telephone,nonexistent,50-60,2
1364,self-employed,divorced,university.degree,no,no,no,cellular,nonexistent,50-60,0
1365,admin.,single,university.degree,no,no,no,telephone,nonexistent,30-40,2
1366,admin.,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
1367,blue-collar,divorced,basic.9y,no,no,no,telephone,nonexistent,30-40,1
1368,technician,divorced,professional.course,no,yes,no,cellular,failure,30-40,0
1369,admin.,divorced,high.school,no,no,no,telephone,nonexistent,30-40,1
1370,blue-collar,married,basic.6y,no,yes,no,cellular,failure,50-60,1
1371,services,divorced,unknown,no,no,no,telephone,nonexistent,30-40,0
1372,self-employed,married,university.degree,no,no,no,cellular,nonexistent,60-70,2
1373,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
1374,admin.,married,high.school,no,no,no,telephone,nonexistent,40-50,1
1375,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
1376,technician,divorced,university.degree,no,yes,no,cellular,failure,40-50,0
1377,management,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1378,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,20-30,1
1379,housemaid,single,university.degree,no,yes,yes,cellular,success,40-50,2
1380,admin.,married,basic.4y,no,no,no,cellular,nonexistent,50-60,1
1381,admin.,married,high.school,no,yes,no,telephone,nonexistent,30-40,1
1382,admin.,married,high.school,no,no,no,cellular,nonexistent,20-30,1
1383,admin.,divorced,university.degree,no,yes,no,cellular,failure,40-50,2
1384,technician,married,basic.4y,unknown,yes,yes,telephone,nonexistent,50-60,0
1385,self-employed,married,university.degree,no,no,no,cellular,failure,30-40,0
1386,retired,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
1387,admin.,single,university.degree,no,no,no,cellular,nonexistent,20-30,2
1388,admin.,married,high.school,no,yes,no,cellular,nonexistent,30-40,1
1389,admin.,married,university.degree,unknown,yes,no,cellular,nonexistent,50-60,2
1390,blue-collar,married,professional.course,unknown,yes,no,cellular,nonexistent,50-60,2
1391,technician,married,professional.course,no,yes,no,cellular,nonexistent,20-30,0
1392,technician,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1393,admin.,single,high.school,no,yes,no,cellular,nonexistent,20-30,1
1394,unemployed,married,basic.4y,unknown,yes,no,cellular,nonexistent,40-50,0
1395,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,50-60,1
1396,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
1397,management,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
1398,student,single,unknown,no,no,yes,telephone,success,20-30,0
1399,blue-collar,single,basic.6y,unknown,yes,no,cellular,nonexistent,20-30,1
1400,blue-collar,divorced,high.school,no,no,yes,telephone,nonexistent,30-40,1
1401,management,married,university.degree,no,yes,no,cellular,nonexistent,40-50,2
1402,admin.,single,university.degree,unknown,yes,no,telephone,nonexistent,40-50,2
1403,services,married,basic.9y,no,no,yes,telephone,nonexistent,40-50,0
1404,technician,married,high.school,no,yes,no,cellular,nonexistent,20-30,0
1405,blue-collar,married,unknown,no,no,no,telephone,nonexistent,30-40,2
1406,management,married,basic.9y,no,yes,no,cellular,nonexistent,40-50,1
1407,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,30-40,1
1408,technician,single,university.degree,no,yes,no,telephone,nonexistent,30-40,0
1409,technician,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,0
1410,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
1411,technician,single,university.degree,no,no,no,telephone,success,30-40,0
1412,blue-collar,married,basic.9y,no,yes,yes,telephone,nonexistent,30-40,1
1413,services,single,high.school,no,yes,no,cellular,failure,20-30,0
1414,unemployed,married,unknown,unknown,no,no,telephone,nonexistent,30-40,0
1415,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
1416,admin.,married,university.degree,no,no,yes,cellular,success,30-40,2
1417,admin.,divorced,university.degree,unknown,no,no,telephone,nonexistent,40-50,2
1418,technician,divorced,basic.9y,no,no,no,cellular,nonexistent,40-50,0
1419,admin.,married,basic.6y,no,no,no,telephone,nonexistent,30-40,1
1420,technician,married,professional.course,no,no,no,cellular,nonexistent,30-40,0
1421,admin.,single,university.degree,no,no,no,telephone,nonexistent,30-40,2
1422,admin.,single,professional.course,no,no,no,cellular,nonexistent,20-30,2
1423,admin.,single,high.school,no,yes,no,telephone,nonexistent,20-30,1
1424,technician,married,professional.course,no,no,no,cellular,nonexistent,20-30,0
1425,blue-collar,single,basic.4y,unknown,no,no,telephone,nonexistent,30-40,1
1426,management,married,university.degree,unknown,no,no,telephone,nonexistent,30-40,2
1427,admin.,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
1428,technician,divorced,professional.course,no,no,no,cellular,nonexistent,40-50,0
1429,blue-collar,divorced,basic.4y,unknown,no,no,telephone,nonexistent,20-30,1
1430,blue-collar,married,high.school,unknown,yes,no,cellular,nonexistent,50-60,1
1431,entrepreneur,married,basic.4y,no,yes,no,telephone,nonexistent,40-50,1
1432,student,single,basic.9y,no,yes,no,cellular,nonexistent,20-30,0
1433,blue-collar,divorced,basic.4y,no,yes,no,cellular,nonexistent,40-50,1
1434,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
1435,admin.,single,university.degree,no,no,no,telephone,nonexistent,20-30,2
1436,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
1437,admin.,married,basic.9y,unknown,yes,no,telephone,nonexistent,40-50,1
1438,blue-collar,single,basic.6y,no,yes,no,cellular,nonexistent,20-30,1
1439,technician,single,high.school,no,no,no,telephone,nonexistent,30-40,0
1440,retired,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
1441,services,married,high.school,no,no,no,cellular,nonexistent,50-60,1
1442,admin.,divorced,high.school,no,yes,no,telephone,nonexistent,50-60,1
1443,admin.,single,university.degree,unknown,no,no,cellular,nonexistent,30-40,2
1444,services,single,high.school,no,no,no,telephone,nonexistent,20-30,0
1445,self-employed,married,basic.9y,unknown,no,yes,cellular,failure,40-50,0
1446,blue-collar,single,university.degree,no,no,no,cellular,nonexistent,20-30,2
1447,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1448,technician,married,professional.course,no,no,no,cellular,success,20-30,0
1449,admin.,married,university.degree,no,yes,no,telephone,nonexistent,40-50,2
1450,management,married,high.school,no,no,no,cellular,failure,40-50,1
1451,admin.,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
1452,services,married,high.school,no,no,yes,cellular,nonexistent,30-40,0
1453,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1454,retired,unknown,basic.4y,no,yes,no,telephone,nonexistent,50-60,1
1455,blue-collar,divorced,basic.4y,unknown,no,no,telephone,nonexistent,50-60,1
1456,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1457,technician,divorced,professional.course,no,yes,no,telephone,nonexistent,30-40,0
1458,entrepreneur,single,university.degree,no,no,no,cellular,failure,30-40,2
1459,technician,married,university.degree,no,yes,no,cellular,success,30-40,0
1460,blue-collar,married,basic.4y,unknown,yes,yes,telephone,nonexistent,50-60,1
1461,admin.,single,high.school,unknown,no,no,cellular,nonexistent,20-30,1
1462,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,40-50,1
1463,housemaid,divorced,high.school,no,no,no,telephone,nonexistent,30-40,1
1464,technician,married,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1465,retired,divorced,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
1466,admin.,single,professional.course,no,no,no,cellular,failure,30-40,2
1467,admin.,married,high.school,no,yes,no,cellular,failure,20-30,1
1468,admin.,married,high.school,unknown,unknown,unknown,telephone,nonexistent,30-40,1
1469,self-employed,married,basic.9y,unknown,yes,no,cellular,failure,40-50,0
1470,technician,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
1471,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1472,housemaid,married,basic.4y,unknown,no,no,cellular,nonexistent,40-50,1
1473,blue-collar,single,high.school,no,no,no,cellular,nonexistent,30-40,1
1474,blue-collar,divorced,unknown,unknown,unknown,unknown,telephone,nonexistent,50-60,2
1475,management,married,high.school,no,yes,no,cellular,nonexistent,30-40,1
1476,self-employed,divorced,high.school,no,yes,no,telephone,nonexistent,40-50,0
1477,technician,married,university.degree,no,yes,yes,cellular,nonexistent,30-40,0
1478,technician,divorced,professional.course,no,no,yes,cellular,nonexistent,40-50,0
1479,technician,divorced,basic.4y,no,yes,no,cellular,success,30-40,0
1480,blue-collar,married,basic.9y,no,yes,yes,cellular,nonexistent,40-50,1
1481,admin.,divorced,high.school,no,yes,yes,cellular,nonexistent,30-40,1
1482,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,40-50,1
1483,admin.,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
1484,unknown,single,basic.9y,unknown,yes,no,telephone,nonexistent,40-50,0
1485,services,married,high.school,no,yes,yes,telephone,nonexistent,20-30,0
1486,housemaid,divorced,basic.4y,no,no,no,cellular,nonexistent,80-90,1
1487,housemaid,married,basic.4y,no,yes,no,cellular,nonexistent,50-60,1
1488,management,married,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
1489,technician,married,university.degree,no,no,no,cellular,nonexistent,30-40,0
1490,blue-collar,married,high.school,no,no,no,cellular,nonexistent,40-50,1
1491,technician,married,unknown,no,no,no,telephone,nonexistent,50-60,0
1492,services,divorced,high.school,no,yes,no,telephone,nonexistent,40-50,0
1493,housemaid,married,basic.4y,no,yes,no,cellular,nonexistent,20-30,1
1494,blue-collar,married,basic.4y,no,no,yes,cellular,nonexistent,40-50,1
1495,technician,single,university.degree,no,yes,no,cellular,nonexistent,20-30,0
1496,retired,divorced,university.degree,no,no,no,cellular,failure,70-80,2
1497,technician,married,professional.course,no,yes,no,telephone,nonexistent,50-60,0
1498,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
1499,admin.,married,high.school,unknown,yes,no,telephone,nonexistent,30-40,1
1500,technician,single,university.degree,no,yes,yes,cellular,nonexistent,20-30,0
1501,technician,married,high.school,no,no,no,cellular,failure,40-50,0
1502,admin.,married,basic.9y,no,yes,yes,cellular,nonexistent,50-60,1
1503,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,20-30,1
1504,blue-collar,married,basic.4y,no,no,no,cellular,failure,30-40,1
1505,admin.,married,basic.6y,no,yes,no,cellular,failure,20-30,1
1506,admin.,single,basic.9y,no,no,no,telephone,nonexistent,40-50,1
1507,blue-collar,married,basic.6y,no,no,no,cellular,failure,30-40,1
1508,admin.,divorced,university.degree,no,no,yes,telephone,nonexistent,30-40,2
1509,management,divorced,university.degree,no,no,no,telephone,nonexistent,30-40,2
1510,blue-collar,single,high.school,no,yes,no,cellular,nonexistent,20-30,1
1511,services,married,university.degree,no,no,no,cellular,nonexistent,40-50,0
1512,technician,married,professional.course,no,no,no,telephone,nonexistent,20-30,0
1513,admin.,married,university.degree,no,yes,no,cellular,nonexistent,20-30,2
1514,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
1515,management,single,university.degree,no,yes,no,cellular,failure,30-40,2
1516,services,married,unknown,no,no,no,cellular,nonexistent,40-50,0
1517,retired,divorced,professional.course,no,no,no,telephone,nonexistent,50-60,2
1518,technician,married,professional.course,no,unknown,unknown,telephone,nonexistent,40-50,0
1519,entrepreneur,divorced,professional.course,no,yes,no,cellular,nonexistent,40-50,2
1520,admin.,single,high.school,no,no,no,telephone,nonexistent,30-40,1
1521,technician,married,professional.course,no,no,no,telephone,nonexistent,40-50,0
1522,technician,divorced,professional.course,no,yes,no,telephone,nonexistent,30-40,0
1523,services,divorced,high.school,no,no,yes,telephone,nonexistent,20-30,0
1524,services,married,high.school,unknown,yes,no,cellular,nonexistent,30-40,0
1525,blue-collar,single,basic.9y,no,yes,no,telephone,nonexistent,20-30,1
1526,admin.,single,university.degree,unknown,yes,no,cellular,nonexistent,40-50,2
1527,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
1528,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,40-50,1
1529,management,married,basic.9y,no,yes,no,telephone,nonexistent,50-60,1
1530,technician,married,high.school,no,no,no,cellular,nonexistent,40-50,0
1531,management,married,basic.9y,no,no,no,cellular,nonexistent,40-50,1
1532,admin.,divorced,high.school,no,yes,no,cellular,failure,40-50,1
1533,admin.,married,university.degree,no,yes,yes,telephone,nonexistent,30-40,2
1534,management,married,university.degree,no,yes,no,cellular,failure,20-30,2
1535,blue-collar,divorced,basic.4y,no,no,no,telephone,nonexistent,40-50,1
1536,blue-collar,divorced,basic.6y,unknown,no,yes,telephone,nonexistent,40-50,1
1537,technician,married,high.school,no,yes,no,telephone,nonexistent,50-60,0
1538,unemployed,single,professional.course,no,no,no,cellular,nonexistent,20-30,0
1539,housemaid,married,basic.4y,unknown,no,no,cellular,nonexistent,50-60,1
1540,self-employed,married,basic.4y,unknown,yes,no,cellular,nonexistent,30-40,1
1541,management,married,professional.course,no,no,no,cellular,nonexistent,40-50,2
1542,admin.,single,high.school,unknown,no,no,telephone,nonexistent,30-40,1
1543,services,single,high.school,no,yes,yes,telephone,nonexistent,20-30,0
1544,blue-collar,married,basic.6y,unknown,yes,no,telephone,nonexistent,20-30,1
1545,services,single,high.school,no,yes,no,cellular,nonexistent,20-30,0
1546,retired,married,high.school,no,no,no,cellular,nonexistent,50-60,1
1547,admin.,married,university.degree,unknown,yes,no,telephone,nonexistent,50-60,2
1548,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,30-40,1
1549,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,20-30,1
1550,technician,married,basic.9y,no,no,no,telephone,nonexistent,30-40,0
1551,management,married,basic.9y,unknown,unknown,unknown,telephone,nonexistent,30-40,1
1552,admin.,married,university.degree,unknown,yes,no,telephone,nonexistent,50-60,2
1553,admin.,divorced,university.degree,no,no,no,telephone,nonexistent,30-40,2
